Name                  RAJ2000     DEJ2000    Umag    Bmag    Vmag    Imag    Jmag    Hmag    Ksmag   [3.6]   [4.5]   [5.8]   [8.0]  Class                           
                        deg         deg       mag     mag     mag     mag     mag     mag     mag     mag     mag     mag     mag                                   

Sk -66 152          083.577957  -66.145081  11.896  10.840  11.863  12.318  12.862  12.919  12.888  12.858  12.718  12.689  12.689  O7 Ib(f)                                       
W28-18              083.687210  -69.725807  12.748  13.602  13.648  14.009  14.187  14.261  14.316  14.361  14.426  14.628  99.999  O9.5 III                        
HDE269810           083.807915  -67.557640  99.999  99.999  99.999  99.999  12.684  12.791  12.879  12.847  12.795  12.769  99.999  O2 III(f*)                      
BI 229              083.884003  -66.043808  12.290  12.010  13.178  12.881  13.420  13.510  13.570  13.568  13.568  13.697  99.999  O7 III                          
ST2-13              083.927002  -69.177887  99.999  99.999  99.999  99.999  13.105  12.136  11.770  11.388  11.404  11.225  11.099  O6 If                           
[ST92]3-26          083.948914  -68.987968  15.001  15.784  15.745  15.643  15.695  15.564  15.661  15.611  15.594  99.999  99.999  O9 III                          
ST2-32              083.981209  -69.199944  13.305  14.078  13.903  13.763  13.650  13.641  13.594  13.470  13.460  99.999  99.999  O5 III                          
[ST92]2-49          084.016708  -69.198608  15.284  15.771  15.710  15.683  15.803  15.976  99.999  15.741  15.794  99.999  99.999  O9 I                            
ST2-50              084.019333  -69.206245  13.191  14.014  13.939  13.906  13.919  13.987  14.035  13.981  13.952  13.839  99.999  O8.5 III(f)                     
Sk -69 212          084.026581  -69.196556  99.999  12.401  12.416  99.999  99.999  12.392  12.417  12.365  12.417  12.384  12.367  O5 III(f)                       
BI 248              084.120834  -69.603332  12.244  13.066  13.179  13.340  99.999  99.999  99.999  13.558  13.542  13.516  99.999  O9 III                          
Sk -69 217          084.154587  -69.488441  10.897  11.816  11.787  12.186  12.212  12.275  12.260  12.228  12.124  12.050  11.965  O7 Iaf                          
Sk -69 218          084.157501  -69.492554  99.999  99.999  99.999  99.999  12.166  12.222  12.258  12.181  12.150  12.155  12.130  O8 Iab(f)                       
HMW113              084.169998  -69.498077  13.137  13.985  13.912  14.199  14.306  14.335  14.405  14.321  14.343  14.110  99.999  O9.7 II                         
R128-24             084.193749  -69.498917  12.045  12.528  12.486  13.115  99.999  99.999  99.999  13.548  13.505  13.483  99.999  O8.5 II                         
R128-45             084.199997  -69.498886  12.330  13.163  13.166  13.433  13.747  13.834  13.889  14.045  13.922  13.882  99.999  O9 II                           
Sk -66 169          084.227707  -66.639557  99.999  99.999  99.999  99.999  11.899  11.914  11.890  11.734  11.645  11.542  11.429  O9.7 Ia+                        
Sk -66 171          084.260040  -66.643608  11.381  10.246  10.248  11.390  12.547  12.572  12.636  12.559  12.516  12.445  12.443  O9 Ia                                            
Sk -69 229          084.311295  -69.497909  11.553  12.624  12.746  12.804  12.947  12.958  13.027  13.033  12.985  12.927  13.010  O8.5 III                        
[ST92]1-12          084.378830  -69.185280  14.193  14.840  14.621  13.915  99.999  13.281  13.177  13.052  13.033  12.983  99.999  O8 I(f)                         
