Name                  RAJ2000     DEJ2000    Umag    Bmag    Vmag    Imag    Jmag    Hmag    Ksmag   [3.6]   [4.5]   [5.8]   [8.0]  Class                           
                        deg         deg       mag     mag     mag     mag     mag     mag     mag     mag     mag     mag     mag                                   

[ST92]1-41          084.421371  -69.177162  14.871  15.761  15.368  15.383  99.999  99.999  99.999  14.666  14.795  99.999  99.999  B0 V                            
[ST92]1-42          084.422707  -69.155304  15.904  16.542  16.534  16.165  15.935  15.879  15.814  15.646  15.352  99.999  99.999  B0.5 V                          
[ST92]1-43          084.424873  -69.142609  14.195  14.985  14.917  14.749  14.488  14.415  14.403  14.441  14.394  99.999  99.999  B0.5 V                          
[ST92]1-46          084.427460  -69.155251  16.253  16.778  16.634  16.375  16.250  16.378  16.074  15.923  16.052  99.999  99.999  B1 V                            
[ST92]1-57          084.439629  -69.166527  14.826  16.062  15.962  15.915  15.676  15.659  15.672  15.618  99.999  99.999  99.999  B2 V                            
[ST92]1-73          084.459999  -69.148445  15.945  16.541  16.499  15.698  15.442  15.225  15.101  15.092  15.189  14.383  99.999  B0 V                            
[ST92]1-89          084.478996  -69.170136  14.265  14.944  14.634  14.599  14.434  14.242  13.979  13.679  13.573  13.465  99.999  B1 V                            
[ST92]1-95          084.491211  -69.146858  14.469  15.276  15.288  15.310  15.311  15.205  15.343  15.358  15.080  99.999  99.999  B1 V                            
[ST92]1-96          084.491379  -69.165031  14.442  15.385  15.182  15.422  15.375  15.408  15.230  14.865  14.546  99.999  99.999  B2 V                            
Parker9021          084.674469  -69.033073  14.912  15.675  15.759  15.943  16.167  16.130  15.949  16.211  16.121  99.999  99.999  B0: V                           
Parker9028          084.684433  -69.007667  15.650  16.602  16.051  16.202  16.124  16.200  15.980  15.989  99.999  99.999  99.999  B1:: V                          
[ST92]5-79          084.701248  -69.474365  99.999  99.999  99.999  99.999  99.999  99.999  99.999  15.820  15.720  99.999  99.999  B1 V                            
Parker1875          084.749786  -69.095001  14.987  15.559  14.835  14.758  14.838  14.738  14.746  14.886  99.999  99.999  99.999  B0:: V:                         
Parker9045          084.765106  -69.005272  14.607  15.394  15.510  15.468  15.517  15.486  15.517  15.347  15.420  14.945  99.999  B1.5 V                          
Parker2022          084.781815  -69.106934  14.568  15.288  15.132  14.794  14.942  14.862  14.818  14.701  14.599  99.999  99.999  B0.5: V                         
Parker2104          084.822494  -69.102737  15.087  15.721  15.603  15.338  15.134  15.029  15.197  14.862  14.785  99.999  99.999  B0.5: V                         
LH104-4-6           084.934540  -69.393333  14.793  15.558  15.564  15.598  99.999  15.635  99.999  15.820  15.799  99.999  99.999  B2 V                            
Parker2313          084.939987  -69.073914  14.780  15.474  15.387  15.376  15.332  15.234  15.090  14.638  14.380  14.281  99.999  B0.5: V                         
LH104-4-19          084.965294  -69.403610  99.999  99.999  99.999  99.999  99.999  99.999  15.979  16.270  16.393  99.999  99.999  B1 V                            
LH104-4-39          085.010330  -69.393890  14.522  15.215  15.426  15.580  15.780  15.801  15.895  15.905  15.927  99.999  99.999  B0 V                            
[ST92]4-43          085.016541  -69.393944  14.906  15.558  15.723  15.778  15.755  15.933  99.999  15.942  15.857  99.999  99.999  B2 V                            
LH104-4-49          085.033211  -69.393890  17.024  17.651  17.443  17.782  99.999  99.999  99.999  17.666  16.860  99.999  99.999  B2 V                            
lmc2-8              085.372917  -68.164894  15.170  15.989  16.063  16.164  16.296  16.306  99.999  15.598  15.553  99.999  99.999  B0.5 Ve:                        
lmc2-747            085.778122  -67.832359  14.421  15.292  15.423  15.766  99.999  99.999  99.999  16.133  16.124  99.999  99.999  B1 V                            
lmc2-627            085.792625  -67.872948  14.452  15.351  15.540  15.855  15.946  16.175  99.999  16.215  16.218  99.999  99.999  B1.5: V                         
lmc2-716            085.796539  -67.844696  14.924  15.774  15.482  16.405  16.088  16.081  15.976  16.357  16.361  99.999  99.999  B0 V                            
lmc2-702            085.801331  -67.848229  14.485  15.329  15.517  15.823  15.920  15.955  99.999  16.121  16.232  99.999  99.999  B0 V                            
lmc2-696            085.825920  -67.850082  14.042  15.113  16.746  15.264  99.999  99.999  99.999  15.584  15.594  99.999  99.999  B1 V                            
lmc2-759            085.836044  -67.829140  14.074  14.830  14.987  15.187  15.209  15.215  15.132  14.689  14.429  14.161  99.999  B0.5 V                          
lmc2-733            085.849709  -67.839363  14.345  15.287  15.483  15.846  16.094  16.071  16.024  16.270  16.389  99.999  99.999  B0 V                            
lmc2-724            085.853081  -67.842056  13.393  14.288  14.490  14.828  14.954  15.063  15.131  15.231  15.271  99.999  99.999  B0 V                            
lmc2-718            085.896126  -67.844749  13.993  15.223  15.091  15.145  15.288  15.281  15.179  15.140  14.992  15.224  99.999  B0.5 V                                                
lmc2-341            086.053291  -67.987053  13.820  14.735  14.887  15.201  15.324  15.419  15.396  14.668  14.401  14.188  99.999  B0.5 V                          
lmc2-486            086.194626  -67.924439  14.524  15.268  15.372  15.641  15.730  15.810  15.444  15.618  15.513  99.999  99.999  B1 V                            
Sk -67 270          086.794540  -67.981918  12.913  13.339  13.517  13.841  14.136  14.217  14.261  14.300  14.264  14.362  99.999  B0.5 V                          
