Name                  RAJ2000     DEJ2000    Umag    Bmag    Vmag    Imag    Jmag    Hmag    Ksmag   [3.6]   [4.5]   [5.8]   [8.0]  Class                           
                        deg         deg       mag     mag     mag     mag     mag     mag     mag     mag     mag     mag     mag                                   

EROS1044            079.799080  -69.706772  14.404  15.396  15.135  15.699  15.577  15.695  99.999  15.674  15.741  99.999  99.999  B2 IV-V + B2 III-IV    
NGC2004-015         082.297752  -67.256775  12.253  13.164  13.306  13.648  13.753  13.803  13.895  13.894  13.830  13.879  13.838  B1.5 II Binary (SB1)   
NGC2004-030         082.545959  -67.382530  13.335  14.174  14.361  14.637  14.759  14.883  14.891  14.980  14.998  15.276  99.999  B0.2 Ib Binary (SB1)   
NGC2004-047         082.556419  -67.240913  13.875  14.518  14.722  15.048  14.971  15.020  15.022  15.295  15.126  99.999  99.999  B2 III Binary (SB1) 
NGC2004-076         082.586044  -67.144775  14.483  15.057  15.203  15.458  15.547  15.620  99.999  15.674  15.642  99.999  99.999  B2.5 III Binary (SB1)  
NGC2004-041         082.636002  -67.257194  13.897  14.535  14.680  14.860  14.908  14.982  15.217  15.175  15.225  99.999  99.999  B2.5 III Binary (SB1)  
NGC2004-031         082.661545  -67.339973  13.639  14.289  14.413  14.591  14.729  14.782  14.851  14.872  14.873  99.999  99.999  B2 II Binary (SB1)      
NGC2004-003         082.668335  -67.269173  99.999  99.999  99.999  99.999  12.117  12.117  12.163  11.996  11.984  12.032  11.996  B5 Ia binary?                   
NGC2004-079         082.669792  -67.195526  14.483  15.059  15.162  15.426  99.999  99.999  99.999  15.660  15.851  99.999  99.999  B2 III Binary (SB1)
NGC2004-059         082.691330  -67.306778  14.094  14.839  15.013  15.213  15.285  15.473  15.441  15.520  15.523  99.999  99.999  B2 III Binary (SB1)
NGC2004-045         082.709122  -67.246551  13.867  14.561  14.640  14.893  14.955  14.935  99.999  14.984  14.917  15.169  99.999  B2 III Binary (SB1)   
NGC2004-020         082.724167  -67.263557  12.934  13.573  13.733  13.866  13.971  14.028  14.073  14.079  14.068  14.110  13.987  B1.5 II Binary (SB1)  
NGC2004-102         082.750961  -67.267784  14.561  15.323  15.414  15.628  15.738  15.864  15.875  15.960  16.089  99.999  99.999  B2 III Binary  
NGC2004-094         082.788627  -67.256195  14.515  15.193  15.273  15.452  15.554  15.569  15.555  15.653  15.604  99.999  99.999  B2.5 III Binary
NGC2004-078         082.880539  -67.251640  14.383  15.018  15.165  15.371  15.522  15.561  15.623  15.618  15.636  99.999  99.999  B2 III Binary (SB1) 
NGC2004-054         082.943252  -67.224693  12.423  17.886  14.665  15.041  15.141  15.180  15.425  15.337  15.412  99.999  99.999  B2 III Binary (SB1)   
Sk -69 194          083.650330  -69.760139  11.428  12.354  12.349  12.019  12.349  12.360  12.303  11.829  11.827  11.688  11.614  B0 I + WN     
Parker548           084.654022  -69.085495  99.999  99.999  99.999  99.999  11.579  11.480  11.384  11.259  99.999  99.999  99.999  B0.7-1.5 I    
Parker1621          084.721039  -69.140259  15.687  16.376  16.516  15.908  15.753  15.845  15.731  15.667  15.903  99.999  99.999  B0.5-1 III   
Parker1674          084.726791  -69.133484  14.144  14.861  14.660  14.027  13.739  13.608  13.513  13.379  13.387  13.478  99.999  B0.5-0.7 I       
